# GREAT version 3.0.0	Species assembly: hg19	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
A4GALT	chr22|173 (-34009)
SEC11C	chr18|227 (-181708), chr18|228 (+68292)
SEC14L1	chr17|300 (-209830), chr17|301 (+40170)
SEC14L3	chr22|124 (-6965)
SEC14L4	chr22|124 (+26681)
SEC22A	chr3|492 (-52168), chr3|493 (+197832)
SEC22C	chr3|171 (-1547)
SEC24B	chr4|442 (+20030)
SEC24D	chr4|479 (+132292)
SEC61B	chr9|409 (+140418)
SEC62	chr3|679 (-59552)
SEC63	chr6|434 (-95608)
SEL1L	chr14|329 (-124796)
SEMA4D	chr9|369 (-91253)
SEMA5B	chr3|491 (+69980)
SEMA6A	chr5|465 (-214371), chr5|464 (+35629), chr5|463 (+285629)
SEMG2	chr20|176 (+25060)
SENP5	chr3|787 (+30274)
SENP6	chr6|305 (-186762), chr6|306 (+63238)
SENP7	chr3|405 (+107027)
SENP8	chr15|287 (-784191), chr15|290 (-34191)
SEPT10	chr2|442 (-3218), chr2|440 (+496782)
SEPT11	chr4|312 (+4145)
SEPT3	chr22|170 (+2187)
SEPT4	chr17|227 (-6822)
SEPT6	chrX|476 (-47668)
SEPT8	chr5|529 (-11934)
SEPT9	chr17|301 (-152491), chr17|302 (+97509), chr17|304 (+597509)
SERBP1	chr1|273 (-228932), chr1|272 (+21068)
SERINC1	chr6|492 (+32268)
SERINC2	chr1|128 (-7411)
SERINC3	chr20|173 (+25749)
SERINC5	chr5|318 (+176897)
SERP2	chr13|180 (-72977), chr13|181 (+177023)
SERPINB5	chr18|245 (-18993)
SERPINC1	chr1|696 (+11515)
SERPINE3	chr13|207 (-290167), chr13|208 (-40167)
SERPING1	chr11|230 (+10010)
SERPINH1	chr11|302 (+101586)
SERTAD2	chr2|261 (-243954), chr2|260 (+6046)
SERTM1	chr13|150 (+126952)
SESN1	chr6|438 (+41021), chr6|437 (+291021)
SESN3	chr11|380 (+89360)
SESTD1	chr2|721 (+4516)
SETBP1	chr18|170 (+114138), chr18|171 (+364138)
SETD3	chr14|400 (+72215)
SETD4	chr21|150 (+57558), chr21|149 (+307558), chr21|148 (+557558), chr21|147 (+807558)
SETD6	chr16|235 (+75609)
SETDB1	chr1|604 (-23814)
SF3B5	chr6|578 (+41753)
SFPQ	chr1|143 (+33748)
SFR1	chr10|424 (-6922)
SFSWAP	chr12|529 (-70681)
SFTPA1	chr10|327 (+254300)
SFTPB	chr2|344 (+20863)
SFTPD	chr10|327 (+83858)
SGK1	chr6|540 (-235805), chr6|539 (+14195)
SGK3	chr8|271 (-62461)
SGMS1	chr10|210 (+8742)
SGPP1	chr14|257 (+69756)
SH2B2	chr7|407 (-303404)
SH2D1B	chr1|650 (+6915)
SH3BGR	chr21|164 (+51245)
SH3BGRL	chrX|321 (-332441), chrX|322 (-82441)
SH3BGRL2	chr6|322 (+34001)
SH3D19	chr4|609 (+22659)
SH3GL3	chr15|337 (+9021)
SH3GLB1	chr1|350 (+204423)
SH3PXD2A	chr10|423 (-9837)
SH3RF2	chr5|582 (+57561)
SH3RF3	chr2|440 (+129004)
SH3TC2	chr5|594 (+67686)
SHANK3	chr22|205 (+11931)
SHB	chr9|153 (-55793)
SHC3	chr9|368 (-81319)
SHC4	chr15|198 (-119360)
SHFM1	chr7|386 (-35798)
SHH	chr7|626 (-770034)
SHISA4	chr1|808 (+17165)
SHMT2	chr12|231 (+1891)
SHQ1	chr3|292 (+22630), chr3|291 (+272630)
SHROOM1	chr5|529 (+41589)
SIAH1	chr16|195 (-225189), chr16|194 (+24811)
SIAH2	chr3|603 (-143837), chr3|602 (+106163)
SIDT1	chr3|454 (+123858)
SIGLEC15	chr18|174 (-30476)
SIGLEC5	chr19|209 (+8587)
SIGLEC9	chr19|207 (-3164)
SIK1	chr21|179 (+222007)
SIK2	chr11|447 (+151886)
SIK3	chr11|468 (+93992)
SIL1	chr5|554 (+159086)
SIM1	chr6|404 (+37804)
SIM2	chr21|152 (-196433), chr21|153 (+53567)
SIPA1L2	chr1|932 (-177697), chr1|928 (+822303)
SIPA1L3	chr19|154 (-22867), chr19|155 (+227133)
SIRT1	chr10|279 (-19426)
SIRT2	chr19|158 (+15462)
SIX1	chr14|245 (-8821)
SIX2	chr2|182 (-138432)
SIX4	chr14|245 (+65851)
SKA1	chr18|192 (-26364)
SKIL	chr3|681 (+47590)
SKIV2L2	chr5|219 (+21413)
SKOR2	chr18|182 (-599447)
SLAIN2	chr4|194 (+31662)
SLAMF6	chr1|642 (+118042)
SLC10A4	chr4|194 (-110359)
SLC10A5	chr8|331 (-16592)
SLC10A6	chr4|351 (+145415)
SLC10A7	chr4|590 (+68084), chr4|589 (+318084)
SLC12A2	chr5|510 (-44457), chr5|512 (+455543)
SLC12A3	chr16|228 (-24118)
SLC12A8	chr3|500 (+55242)
SLC13A1	chr7|493 (-284961)
SLC13A4	chr7|542 (+37933)
SLC14A1	chr18|174 (+68311)
SLC14A2	chr18|170 (-819765), chr18|171 (-569765)
SLC15A1	chr13|399 (-220093), chr13|398 (+29907)
SLC15A2	chr3|487 (+12065)
SLC16A1	chr1|454 (+123684)
SLC16A10	chr6|446 (-33780)
SLC16A12	chr10|366 (-79688)
SLC16A5	chr17|293 (+39968)
SLC16A6	chr17|266 (-87744)
SLC16A9	chr10|247 (-155164)
SLC17A5	chr6|298 (-11123)
SLC17A9	chr20|247 (+40949)
SLC18A2	chr10|477 (+124397)
SLC18B1	chr6|533 (-5309)
SLC1A4	chr2|261 (-91534)
SLC1A7	chr1|215 (-16752)
SLC20A1	chr2|454 (-28433)
SLC22A14	chr3|154 (+27574)
SLC22A16	chr6|445 (-327157), chr6|444 (-77157)
SLC22A4	chr5|527 (-5135)
SLC24A3	chr20|76 (-318289)
SLC24A4	chr14|371 (-164948)
SLC25A12	chr2|691 (+125761)
SLC25A13	chr7|384 (+76458)
SLC25A15	chr13|166 (+11368)
SLC25A17	chr22|165 (+90385)
SLC25A19	chr17|294 (-91246)
SLC25A26	chr3|265 (+5716), chr3|266 (+255716)
SLC25A31	chr4|515 (-26532)
SLC25A36	chr3|563 (-35728)
SLC25A38	chr3|158 (-49838)
SLC25A46	chr5|441 (+50306), chr5|442 (+300306)
SLC25A48	chr5|541 (-45415)
SLC25A5	chrX|475 (+22638)
SLC25A51	chr9|152 (+29106)
SLC25A52	chr18|118 (-34158)
SLC25A53	chrX|414 (+26707)
SLC26A2	chr5|598 (+34701)
SLC26A4	chr7|430 (+73921)
SLC26A5	chr7|413 (-38377)
SLC26A7	chr8|369 (-136534)
SLC26A9	chr1|824 (+37587)
SLC27A3	chr1|616 (+127233)
SLC27A6	chr5|514 (+74180)
SLC28A1	chr15|342 (-52912)
SLC28A3	chr9|348 (+80597), chr9|347 (+330597)
SLC2A1	chr1|175 (-200500), chr1|174 (+49500)
SLC2A10	chr20|182 (+36875)
SLC2A12	chr6|539 (-251227), chr6|538 (-1227)
SLC2A2	chr3|685 (-380462)
SLC2A8	chr9|521 (-34420)
SLC30A10	chr1|881 (-23057)
SLC30A6	chr2|130 (-15932)
SLC30A7	chr1|406 (+13369)
SLC31A2	chr9|464 (-38221)
SLC35A1	chr6|353 (-57694)
SLC35A3	chr1|402 (-60344)
SLC35B4	chr7|537 (-123198)
SLC35D1	chr1|271 (-105219)
SLC35D2	chr9|397 (+20978)
SLC35E3	chr12|277 (-14885)
SLC35F1	chr6|473 (-103688)
SLC35F3	chr1|936 (-165678), chr1|937 (+84322)
SLC35F5	chr2|459 (-110601)
SLC35G1	chr10|383 (-28729)
SLC36A1	chr5|604 (+47844)
SLC37A2	chr11|500 (-58231)
SLC38A1	chr12|187 (+37794)
SLC38A2	chr12|188 (-108351)
SLC38A4	chr12|188 (+344779)
SLC38A6	chr14|246 (-72831)
SLC38A8	chr16|337 (-49239)
SLC39A10	chr2|787 (+103530), chr2|788 (+353530)
SLC39A11	chr17|285 (-36174), chr17|284 (+213826)
SLC39A8	chr4|414 (-108705)
SLC3A2	chr11|251 (+1418)
SLC40A1	chr2|762 (+70612)
SLC41A2	chr12|422 (-52568), chr12|420 (+447432)
SLC44A1	chr9|432 (-131902), chr9|433 (+118098)
SLC45A3	chr1|823 (+24586)
SLC46A2	chr9|463 (+28192)
SLC4A1	chr17|170 (-29492)
SLC4A4	chr4|288 (-178002)
SLC4A8	chr12|208 (+56446)
SLC5A1	chr22|130 (-64018)
SLC5A11	chr16|100 (+17839)
SLC5A3	chr21|143 (+179131)
SLC5A4	chr22|131 (+26327)
SLC7A11	chr4|560 (-711498), chr4|557 (+38502)
SLC7A14	chr3|682 (-71138)
SLC7A5	chr16|352 (+28093)
SLC7A9	chr19|134 (-14329)
SLC9A2	chr2|413 (-111165)
SLC9A4	chr2|413 (+35239)
SLC9A8	chr20|194 (-54249)
SLC9A9	chr3|575 (-57628), chr3|573 (+442372), chr3|572 (+692372)
SLC9B1	chr4|416 (+65895)
SLC9C1	chr3|448 (+138104)
SLC9C2	chr1|695 (-52768)
SLCO2A1	chr3|536 (-126081), chr3|535 (+123919)
SLCO3A1	chr15|368 (-521924), chr15|369 (-271924), chr15|370 (-21924)
SLCO4C1	chr5|407 (+7252)
SLCO5A1	chr8|284 (-127702), chr8|283 (+122298)
SLFNL1	chr1|167 (-136092)
SLIT3	chr5|673 (+603132)
SLITRK1	chr13|338 (+81527)
SLITRK5	chr13|352 (-449869), chr13|354 (+50131)
SLITRK6	chr13|346 (-1378), chr13|343 (+748622)
SLMAP	chr3|232 (+133044)
SLMO2	chr20|231 (-7037)
SLPI	chr20|176 (+8204)
SLTM	chr15|237 (+100851)
SMAD1	chr4|585 (-278962), chr4|586 (-28962)
SMAD2	chr18|183 (-167489), chr18|182 (+82511)
SMAD4	chr18|195 (+68418)
SMAD5	chr5|542 (-93535)
SMAD7	chr18|188 (-397920), chr18|185 (+352080)
SMAP1	chr6|286 (-2478)
SMARCA5	chr4|578 (-59615)
SMARCAD1	chr4|381 (-3761)
SMARCB1	chr22|97 (-4160)
SMC1A	chrX|214 (+74676)
SMC1B	chr22|184 (-65553)
SMC3	chr10|450 (+47552)
SMC5	chr9|292 (+1064)
SMCO4	chr11|374 (-98327)
SMCR7L	chr22|160 (-23357)
SMEK1	chr14|369 (-148513)
SMEK2	chr2|224 (-30278)
SMIM12	chr1|142 (-49584)
SMIM19	chr8|170 (-21297)
SMIM2	chr13|180 (-139608)
SMIM21	chr18|297 (-985343), chr18|296 (-735343), chr18|294 (-235343), chr18|293 (+14657)
SMIM4	chr3|211 (+54380)
SMIM5	chr17|295 (-4513)
SMIM8	chr6|352 (-157305)
SMLR1	chr6|526 (+226455)
SMPD3	chr16|274 (+107590)
SMPDL3A	chr6|493 (+14686)
SMTN	chr22|126 (-102304)
SMUG1	chr12|219 (-42223)
SMURF2	chr17|252 (-216815), chr17|251 (+33185)
SMYD1	chr2|354 (+7702)
SMYD2	chr1|858 (-79575)
SMYD3	chr1|987 (+45518), chr1|985 (+545518), chr1|984 (+795518)
SNAP47	chr1|912 (-47696)
SNAP91	chr6|338 (+44126)
SNAPIN	chr1|615 (-6129)
SNCA	chr4|361 (+633289)
SND1	chr7|510 (+82767), chr7|511 (+332767)
SNRNP27	chr2|281 (+4309)
SNRPA1	chr15|408 (-39545)
SNRPE	chr1|816 (+44258)
SNX16	chr8|332 (-120480)
SNX18	chr5|216 (+61408)
SNX2	chr5|489 (+14310)
SNX20	chr16|203 (+90262)
SNX24	chr5|489 (-56143)
SNX25	chr4|745 (-390)
SNX27	chr1|607 (+40443)
SNX30	chr9|463 (+111883)
SNX4	chr3|501 (+114040)
SNX6	chr14|141 (-25612)
SOAT1	chr1|718 (+112064)
SOBP	chr6|432 (+63839), chr6|433 (+313839)
SOCS2	chr12|376 (-88589)
SOCS5	chr2|188 (-51090), chr2|189 (+198910)
SON	chr21|140 (-39923)
SORBS1	chr10|390 (-53866), chr10|389 (+196134)
SORCS3	chr10|425 (-275858)
SORD	chr15|181 (-190301), chr15|182 (+59699)
SORT1	chr1|440 (+65572)
SOS1	chr2|158 (-26809)
SOS2	chr14|203 (+73275)
SOX10	chr22|154 (+5543)
SOX13	chr1|816 (-167731)
SOX14	chr3|550 (-108578), chr3|551 (+141422)
SOX17	chr8|221 (-245494)
SOX21	chr13|384 (-510612), chr13|383 (-260612), chr13|382 (-10612)
SOX30	chr5|629 (-45573)
SOX9	chr17|284 (+757840)
SP140	chr2|925 (+34555)
SP140L	chr2|925 (-66898)
SP3	chr2|700 (-44571), chr2|699 (+205429)
SP5	chr2|685 (-446860), chr2|687 (+53140)
SP9	chr2|701 (-74673)
SPAG17	chr1|475 (+102845)
SPAG9	chr17|197 (+73225)
SPARC	chr5|605 (-58275)
SPARCL1	chr4|354 (+75654)
SPAST	chr2|130 (+86225)
SPATA20	chr17|195 (+551)
SPATA3	chr2|928 (+14160)
SPATA31E1	chr9|362 (-122740)
SPATA32	chr17|174 (-35522)
SPATA4	chr4|709 (-8179)
SPATA5	chr4|496 (+30772)
SPATA7	chr14|356 (+23127)
SPATS2L	chr2|804 (-295873), chr2|805 (-45873)
SPERT	chr13|185 (-151445)
SPESP1	chr15|277 (-97838)
SPHK1	chr17|298 (-5730)
SPIC	chr12|408 (+5802)
SPICE1	chr3|453 (+109002)
SPIDR	chr8|193 (-48166), chr8|195 (+451834)
SPIN1	chr9|363 (-378333), chr9|365 (+121667)
SPIN3	chrX|228 (+146968), chrX|227 (+396968)
SPIN4	chrX|251 (-53783)
SPINK2	chr4|231 (+62907)
SPINT3	chr20|177 (+19263)
SPO11	chr20|224 (-29814)
SPOCD1	chr1|130 (-93349)
SPOCK1	chr5|548 (-39964), chr5|547 (+210036)
SPOPL	chr2|558 (+115630)
SPPL3	chr12|486 (-32827)
SPR	chr2|293 (+10512)
SPRED2	chr2|267 (-965690), chr2|263 (+34310)
SPRY1	chr4|496 (-445664), chr4|498 (+54336)
SPRY2	chr13|324 (+38793), chr13|323 (+288793), chr13|322 (+538793), chr13|321 (+788793)
SPRY4	chr5|568 (-170435), chr5|567 (+79565)
SPSB4	chr3|564 (+104757)
SPTB	chr14|262 (-85135)
SPTBN1	chr2|219 (-58421), chr2|220 (+191579)
SPTLC1	chr9|380 (+2657)
SPTLC2	chr14|313 (-41885)
SPZ1	chr5|319 (+9211)
SRBD1	chr2|182 (+463419)
SRCIN1	chr17|147 (+137182)
SRD5A3	chr4|225 (-87275)
SREK1	chr5|262 (-65045), chr5|264 (+434955)
SRFBP1	chr5|486 (+77345)
SRGAP1	chr12|258 (+136928), chr12|259 (+386928)
SRGAP2	chr1|827 (+108801)
SRGN	chr10|284 (+27127)
SRI	chr7|351 (+224393)
SRP14	chr15|162 (-43612)
SRP19	chr5|449 (-71918)
SRP54	chr14|142 (-76162)
SRP9	chr1|904 (-90530)
SRPK1	chr6|144 (+14118)
SRPK2	chr7|421 (-95660), chr7|420 (+154340)
SRRD	chr22|108 (-4842)
SRRM4	chr12|476 (-544299)
SRSF1	chr17|225 (-40294)
SRSF5	chr14|281 (-68616)
SS18	chr18|95 (+45588)
SSB	chr2|683 (-30788)
SSBP2	chr5|325 (-77929)
SSBP3	chr1|220 (-2909)
SSH2	chr17|113 (+132169)
SSMEM1	chr7|520 (+27301)
SSR3	chr3|626 (-102028), chr3|625 (+147972)
SSTR2	chr17|285 (-36150)
SSTR3	chr22|151 (-16639)
ST14	chr11|521 (+95544)
ST18	chr8|214 (-52698), chr8|212 (+447302)
ST3GAL3	chr1|177 (-48217), chr1|178 (+201783)
ST3GAL5	chr2|345 (-8864)
ST6GAL1	chr3|747 (-23273)
ST6GALNAC1	chr17|299 (+14919)
ST6GALNAC2	chr17|299 (-42791)
ST7	chr7|467 (+31620), chr7|468 (+281620)
ST8SIA2	chr15|373 (+187943)
ST8SIA3	chr18|218 (-643043), chr18|219 (-393043), chr18|220 (-143043)
ST8SIA4	chr5|400 (+363969)
ST8SIA5	chr18|178 (-37869)
STAB2	chr12|417 (+143950)
STAC3	chr12|231 (+19975)
STAG1	chr3|546 (+96209)
STAM2	chr2|613 (-92495)
STARD13	chr13|136 (-15109)
STARD4	chr5|445 (-276793), chr5|444 (-26793)
STARD5	chr15|327 (-8535)
STARD6	chr18|208 (+9333)
STARD7	chr2|388 (-445)
STAT1	chr2|768 (+3975)
STAT5B	chr17|162 (+53423)
STAU2	chr8|299 (+34171), chr8|298 (+284171)
STK17B	chr2|790 (-338702), chr2|789 (-88702)
STK24	chr13|398 (-200749), chr13|397 (+49251), chr13|396 (+299251)
STK32A	chr5|588 (+260475)
STK39	chr2|677 (-20350)
STMN2	chr8|323 (+101614)
STOM	chr9|497 (+7482)
STOML3	chr13|158 (+190202)
STON2	chr14|328 (+18747)
STOX1	chr10|283 (+37703)
STRA8	chr7|540 (-41730), chr7|541 (+208270)
STRADB	chr2|810 (+58609)
STRBP	chr9|504 (+155854)
STRIP2	chr7|516 (-199273), chr7|517 (+50727)
STRN	chr2|149 (+68614)
STT3B	chr3|127 (+50719)
STX16	chr20|229 (-101338)
STX17	chr9|411 (-43914)
STX1A	chr7|293 (+8987)
STX6	chr1|724 (+117046), chr1|723 (+367046)
STXBP5	chr6|591 (+99332)
STYXL1	chr7|303 (+52320)
SUCLA2	chr13|194 (+200461)
SUCLG1	chr2|339 (+61603)
SUCLG2	chr3|271 (+80033)
SUDS3	chr12|476 (+60816)
SUGP2	chr19|77 (+19831)
SULF1	chr8|283 (+246142)
SULF2	chr20|188 (-459671)
SULT1A1	chr16|115 (+9873)
SULT1A2	chr16|115 (-17200)
SULT2A1	chr19|194 (+14653)
SUMF2	chr7|225 (-6947)
SUMO1	chr2|813 (-21670)
SUN2	chr22|157 (+27003)
SUOX	chr12|226 (-20281)
SUPT20H	chr13|151 (+8822)
SUPT3H	chr6|184 (-529331), chr6|183 (-279331), chr6|182 (-29331)
SUSD1	chr9|460 (+62687)
SUSD4	chr1|894 (+162400)
SUV39H1	chrX|195 (+70015)
SV2B	chr15|367 (-18514), chr15|368 (+231486), chr15|369 (+481486), chr15|370 (+731486)
SV2C	chr5|301 (-253996)
SVEP1	chr9|453 (+217159)
SVOPL	chr7|554 (-11177)
SYBU	chr8|443 (+79019)
SYCP3	chr12|409 (+8246)
SYDE2	chr1|343 (+41728)
SYK	chr9|375 (+60932), chr9|376 (+310932)
SYNCRIP	chr6|346 (-21998)
SYNDIG1	chr20|100 (+425166)
SYNDIG1L	chr14|300 (+17804)
SYNE2	chr14|258 (+55318), chr14|259 (+305318)
SYNE3	chr14|384 (+67172)
SYNGR4	chr19|196 (+7349)
SYNJ1	chr21|137 (-24642)
SYNM	chr15|399 (-20285), chr15|400 (+229715)
SYNPO2	chr4|480 (+65005)
SYPL1	chr7|424 (-121979), chr7|423 (+128021)
SYT13	chr11|182 (-67131)
SYT14	chr1|841 (+13463)
SYT2	chr1|811 (-12420), chr1|810 (+237580)
SYT3	chr19|205 (+16301)
SYTL2	chr11|343 (-187490)
SZT2	chr1|176 (+19361)
TAB2	chr6|597 (-517187), chr6|599 (-17187)
TAC4	chr17|192 (+50378)
TACR1	chr2|302 (+51825)
TACR2	chr10|285 (+51622)
TACR3	chr4|418 (+265972), chr4|417 (+515972)
TAF1	chrX|283 (+38846)
TAF13	chr1|439 (-6377)
TAF4	chr20|243 (+15865)
TAF4B	chr18|96 (+69101), chr18|97 (+319101)
TAF5	chr10|421 (-2723)
TAF9B	chrX|310 (+20202)
TAGLN2	chr1|640 (+20521)
TAL2	chr9|434 (-49737)
TANC1	chr2|640 (+49818), chr2|641 (+299818)
TANGO6	chr16|276 (-2508), chr16|277 (+247492)
TANK	chr2|646 (-641807)
TAOK1	chr17|112 (+157383)
TAOK3	chr12|475 (+185749)
TARBP1	chr1|939 (-10152)
TARS2	chr1|602 (-84892)
TAS2R39	chr7|572 (-5511)
TAS2R60	chr7|573 (-15545)
TAT	chr16|287 (-13968)
TBC1D16	chr17|312 (+134646)
TBC1D2	chr9|406 (-357086), chr9|405 (-107086)
TBC1D21	chr15|297 (-40967)
TBC1D22A	chr22|190 (+216483), chr22|191 (+466483)
TBC1D2B	chr15|314 (-5007), chr15|313 (+244993)
TBC1D31	chr8|497 (+40081)
TBC1D32	chr6|487 (+30625)
TBC1D4	chr13|304 (+181249)
TBC1D8	chr2|407 (+142714)
TBC1D9	chr4|567 (+52273)
TBC1D9B	chr5|718 (-40142)
TBCE	chr1|943 (+94326)
TBK1	chr12|260 (+29341)
TBX15	chr1|479 (-92822)
TBX18	chr6|345 (-650764), chr6|342 (+99236)
TBX21	chr17|184 (+64391)
TBXAS1	chr7|559 (+96049)
TC2N	chr14|370 (-41128)
TCEA1	chr8|220 (+60088)
TCEB1	chr8|300 (+9521)
TCEB3B	chr18|179 (-63013)
TCERG1	chr5|584 (+48126)
TCF20	chr22|171 (-13553)
TCF21	chr6|535 (-585275), chr6|537 (-85275)
TCF24	chr8|272 (-176)
TCF4	chr18|211 (+678184)
TCF7	chr5|534 (-75401)
TCF7L1	chr2|342 (+14468)
TCHH	chr1|609 (-38445)
TCHP	chr12|442 (+36678)
TCL1A	chr14|385 (+55532)
TCP10L	chr21|136 (+82842)
TCP11	chr6|140 (+234423)
TCP11L1	chr11|133 (+64038)
TCTN1	chr12|445 (+73032)
TCTN2	chr12|497 (-30659)
TDRD3	chr13|244 (-96426), chr13|245 (+153574)
TDRD7	chr9|401 (-49231)
TECPR1	chr7|392 (+6562)
TECTA	chr11|485 (+153119)
TEDDM1	chr1|730 (-5250)
TEKT4	chr2|383 (+87813)
TENM4	chr11|316 (+276694), chr11|315 (+526694), chr11|314 (+776694)
TERF1	chr8|296 (-46098)
TES	chr7|465 (+274454)
TESC	chr12|470 (+162273)
TESK2	chr1|184 (+81837)
TET1	chr10|282 (+54588)
TEX10	chr9|413 (-9780), chr9|412 (+240220)
TEX101	chr19|176 (-30647)
TEX14	chr17|227 (+144383)
TEX2	chr17|250 (-34414)
TEX29	chr13|448 (-98014)
TEX37	chr2|355 (-199168), chr2|356 (+50832)
TFAM	chr10|241 (-19781)
TFAP2C	chr20|221 (-79357), chr20|222 (+170643), chr20|223 (+420643)
TFCP2L1	chr2|490 (-332218), chr2|489 (-82218), chr2|488 (+167782)
TFDP2	chr3|568 (-6638), chr3|567 (+243362)
TFG	chr3|402 (-53268)
TFPT	chr19|219 (-5946)
TGFA	chr2|284 (-93854), chr2|283 (+156146)
TGFB3	chr14|306 (+72533)
TGFBI	chr5|542 (+10417)
TGFBR1	chr9|408 (+7630)
TGFBRAP1	chr2|424 (+71490)
TGM2	chr20|148 (-81227)
TGOLN2	chr2|342 (+180146)
TGS1	chr8|226 (-310700), chr8|227 (-60700)
THAP10	chr15|286 (-189877)
THAP6	chr4|306 (-64682)
THAP9	chr4|336 (+53096)
THBS1	chr15|156 (-998293), chr15|159 (-248293)
THBS4	chr5|318 (+43830)
THEM4	chr1|608 (+7283)
THEM5	chr1|608 (-48828)
THG1L	chr5|629 (-33204)
THNSL2	chr2|355 (+154022)
THSD1	chr13|212 (+105262)
THSD4	chr15|286 (-14290), chr15|287 (+235710), chr15|290 (+985710)
THYN1	chr11|537 (-1763)
TIA1	chr2|282 (+100772)
TIAF1	chr17|110 (+30874)
TIAM1	chr21|132 (+56289), chr21|131 (+306289)
TICAM2	chr5|461 (-163125)
TICRR	chr15|361 (+6288)
TIGD2	chr4|361 (+91033)
TIMM21	chr18|288 (+59255)
TIMM23	chr10|207 (-1663)
TIMP3	chr22|132 (-322686), chr22|133 (-72686)
TIPARP	chr3|626 (-17633), chr3|627 (+232367), chr3|628 (+482367)
TIPRL	chr1|673 (-23170)
TKT	chr3|214 (-84963)
TKTL2	chr4|658 (+20046)
TLDC1	chr16|339 (-86637)
TLE3	chr15|284 (-484486), chr15|282 (+15514), chr15|280 (+515514)
TLK1	chr2|689 (-107658), chr2|688 (+142342)
TLK2	chr17|243 (+68615)
TLL1	chr4|666 (-419409)
TLN2	chr15|251 (-228563), chr15|253 (+271437)
TLR2	chr4|619 (+2349)
TLR5	chr1|894 (-64372)
TM2D3	chr15|409 (+67569)
TM4SF1	chr3|597 (-29349)
TM4SF4	chr3|597 (-66760), chr3|598 (+183240)
TM6SF1	chr15|336 (+98842)
TM9SF2	chr13|401 (-28670)
TM9SF3	chr10|394 (-28192)
TMC3	chr15|329 (-458447), chr15|327 (+41553)
TMC6	chr17|305 (-223)
TMC8	chr17|305 (-1866)
TMCC3	chr12|382 (-330663), chr12|381 (-80663), chr12|380 (+169337)
TMED3	chr15|319 (+21597)
TMED4	chr7|179 (-3143)
TMED5	chr1|375 (+21284)
TMED8	chr14|312 (-31549)
TMEM101	chr17|169 (-24482)
TMEM106A	chr17|166 (+11107)
TMEM106C	chr12|194 (+17598)
TMEM108	chr3|532 (+117766)
TMEM116	chr12|450 (+75914)
TMEM126A	chr11|342 (+15969)
TMEM130	chr7|394 (+92488)
TMEM132B	chr12|503 (-186161)
TMEM135	chr11|348 (+125952)
TMEM136	chr11|481 (-71004)
TMEM144	chr4|637 (-6400)
TMEM14A	chr6|211 (+89094)
TMEM150C	chr4|335 (-141634), chr4|334 (+108366)
TMEM155	chr4|491 (+61339)
TMEM161B	chr5|352 (-310336), chr5|351 (-60336)
TMEM163	chr2|542 (+101569), chr2|541 (+351569)
TMEM165	chr4|226 (+112877)
TMEM167A	chr5|330 (-1686), chr5|327 (+748314)
TMEM167B	chr1|439 (-8356)
TMEM168	chr7|450 (+55646), chr7|449 (+305646)
TMEM17	chr2|251 (+108475)
TMEM177	chr2|482 (-61742)
TMEM178B	chr7|564 (+100969)
TMEM184B	chr22|155 (+44039)
TMEM185B	chr2|484 (+105983)
TMEM19	chr12|289 (+45134)
TMEM192	chr4|665 (-90930)
TMEM194B	chr2|766 (+24447)
TMEM212	chr3|687 (+63862)
TMEM213	chr7|554 (-107696)
TMEM232	chr5|437 (+937365)
TMEM237	chr2|810 (+133239)
TMEM243	chr7|348 (-25098)
TMEM244	chr6|521 (+57691)
TMEM245	chr9|448 (+7224)
TMEM248	chr7|266 (-11211)
TMEM25	chr11|474 (-26923)
TMEM254	chr10|328 (+36575)
TMEM26	chr10|255 (-411793)
TMEM260	chr14|229 (+78490)
TMEM30A	chr6|305 (-130317)
TMEM30B	chr14|247 (+123557)
TMEM33	chr4|168 (-62136)
TMEM38B	chr9|435 (+168176)
TMEM39A	chr3|477 (+57528)
TMEM41A	chr3|741 (+91844)
TMEM42	chr3|180 (-28360)
TMEM5	chr12|257 (-48582)
TMEM50B	chr21|140 (-22683)
TMEM53	chr1|181 (+15226), chr1|180 (+265226)
TMEM54	chr1|134 (-8042)
TMEM55A	chr8|368 (+178291)
TMEM60	chr7|310 (+52896)
TMEM61	chr1|222 (-71464)
TMEM63C	chr14|311 (-23169)
TMEM67	chr8|380 (+107916)
TMEM72	chr10|182 (-31647)
TMEM78	chr1|916 (-510382), chr1|917 (-260382), chr1|918 (-10382)
TMEM87B	chr2|452 (+62201)
TMEM9	chr1|805 (-1433)
TMEM92	chr17|194 (+26234)
TMF1	chr3|277 (-23547)
TMOD1	chr9|402 (+111539)
TMPO	chr12|396 (-34407)
TMPPE	chr3|133 (+13292)
TMPRSS11B	chr4|277 (-13563)
TMPRSS2	chr21|173 (-245009), chr21|172 (+4991)
TMPRSS4	chr11|472 (-72803)
TMPRSS5	chr11|455 (-47906)
TMSB10	chr2|341 (-7748)
TMSB15A	chrX|408 (-103289)
TMSB15B	chrX|413 (-92241)
TMTC3	chr12|355 (+88928)
TMTC4	chr13|406 (-47952)
TMX1	chr14|207 (-81885)
TMX3	chr18|266 (+7534)
TNFAIP2	chr14|415 (+35203)
TNFAIP8	chr5|474 (-315008), chr5|475 (-65008)
TNFAIP8L2	chr1|605 (-4104)
